Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
ECV Selection,0,1,0.5002221428571428,32.19230639,-0.020091627082318167
ECV Selection,1,1,0.4530057142857143,26.9277624,0.109798100133718
ECV Selection,2,1,0.39558571428571426,28.338855,0.20543446015810707
ECV Selection,3,1,0.3891142857142857,26.2654672,0.19663575716207296
ECV Selection,4,1,0.37097142857142856,23.4511994,-
ECV Selection,0,2,0.5001099999999999,37.35959097,-0.01277223115322383
ECV Selection,1,2,0.4524385714285714,37.49746918,0.018516984764521075
ECV Selection,2,2,0.3776857142857143,28.9512186,0.18362758909644478
ECV Selection,3,2,0.3505142857142857,25.7033504,0.20384684839518108
ECV Selection,4,2,0.3433714285714286,30.9999898,-
ECV Selection,0,3,0.4994242857142857,39.55160628,0.010624470392232906
ECV Selection,1,3,0.44945,28.11295746,0.09781295254296993
ECV Selection,2,3,0.40505714285714284,25.9638042,0.1694385707766609
ECV Selection,3,3,0.3909714285714285,29.8171674,0.22895514761742689
ECV Selection,4,3,0.3698571428571429,23.493981,-
ECV Selection,0,4,0.49909285714285717,37.60140905,-0.02004512723481271
ECV Selection,1,4,0.4476942857142857,29.73130482,0.12621406342623592
ECV Selection,2,4,0.4027428571428571,23.9937568,0.13749928352420865
ECV Selection,3,4,0.37514285714285717,27.684094,0.21262104688693167
ECV Selection,4,4,0.3603,28.433988,-
ECV Selection,0,5,0.5002771428571429,37.51568032,0.030340325980137493
ECV Selection,1,5,0.4397885714285714,26.32196246,0.12100162570528786
ECV Selection,2,5,0.41914285714285715,33.6252636,0.17902424814865736
ECV Selection,3,5,0.3787285714285714,22.8183786,0.14639905462915087
ECV Selection,4,5,0.3602142857142857,29.2992,-
ECV Selection,0,6,0.5009235714285715,38.80836134,-0.0017753470683218764
ECV Selection,1,6,0.44199285714285713,33.4424349,0.06154982726678552
ECV Selection,2,6,0.3893285714285714,27.6399523,0.1920712782773612
ECV Selection,3,6,0.3782857142857143,25.9921842,0.22835060804436455
ECV Selection,4,6,0.3813714285714286,21.3838498,-
ECV Selection,0,7,0.5005535714285715,34.66571073,0.0011094469715443346
ECV Selection,1,7,0.4648142857142857,34.32750572,0.10133929972364641
ECV Selection,2,7,0.42532857142857144,28.575484200000002,0.1713854462431236
ECV Selection,3,7,0.3957142857142857,26.730911,0.19108783785398528
ECV Selection,4,7,0.3772285714285714,24.9890876,-
ECV Selection,0,8,0.49969142857142856,38.46991224,-0.0077042725741864725
ECV Selection,1,8,0.46071571428571434,36.54555144,0.11360136417628836
ECV Selection,2,8,0.41324285714285713,23.5581363,0.1918481338024569
ECV Selection,3,8,0.3858571428571429,26.877775,0.1891434607587062
ECV Selection,4,8,0.37497142857142857,32.014211,-
ECV Selection,0,9,0.5000885714285714,30.4593081,0.0233220504223467
ECV Selection,1,9,0.43571571428571426,31.16223688,0.03675261392764085
