Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
ECV Selection,0,21,0.49943125000000005,19.75649229,0.006985936131368924
ECV Selection,1,21,0.684855,26.13506014,0.14302681375003942
ECV Selection,2,21,0.8095375,26.8194051,0.19126034912494558
ECV Selection,3,21,0.879475,33.0851162,0.21596313283626106
ECV Selection,4,21,0.927675,31.5078034,-
ECV Selection,0,22,0.49983500000000003,19.87635749,-0.02744607495501206
ECV Selection,1,22,0.706055,26.03469832,0.07058826238590535
ECV Selection,2,22,0.813025,31.0224499,0.1711394306345009
ECV Selection,3,22,0.8943749999999999,32.5968102,0.22502203048046246
ECV Selection,4,22,0.955925,36.2768206,-
ECV Selection,0,23,0.50031875,20.53985854,-0.03553748965389813
ECV Selection,1,23,0.69178,26.64941696,0.1561588275527653
ECV Selection,2,23,0.815525,29.4682416,0.13446542273719356
ECV Selection,3,23,0.9042,35.554063,0.22924734287107368
ECV Selection,4,23,0.9558249999999999,37.4938206,-
ECV Selection,0,24,0.50083,19.53926274,-0.00018687111345888155
ECV Selection,1,24,0.6887274999999999,24.88424186,0.13611301022758587
ECV Selection,2,24,0.8003,27.0959413,0.19686071836322713
ECV Selection,3,24,0.89635,31.9569914,0.1588759587264694
ECV Selection,4,24,0.9536749999999999,31.1047002,-
ECV Selection,0,25,0.5001075,19.69197303,0.021910996975821013
ECV Selection,1,25,0.7022975,25.02834944,0.14513442810134594
ECV Selection,2,25,0.8216625000000001,32.4905057,0.23554007550686348
ECV Selection,3,25,0.9027,32.8055654,0.2301054775594012
ECV Selection,4,25,0.9464,33.4661128,-
ECV Selection,0,26,0.49930250000000004,20.42968172,-0.009316986563603243
ECV Selection,1,26,0.6980825,25.27884756,0.14627936731791336
ECV Selection,2,26,0.8274250000000001,30.2474523,0.1865748667872191
ECV Selection,3,26,0.911325,29.516821,0.21249410655541484
ECV Selection,4,26,0.96305,34.3481262,-
ECV Selection,0,27,0.5005025,19.33133921,0.022031285754958073
ECV Selection,1,27,0.6820375000000001,26.25932132,0.03045672581453833
ECV Selection,2,27,0.78735,30.3145573,0.11087308211061042
ECV Selection,3,27,0.884375,30.4025636,0.19661629897776978
ECV Selection,4,27,0.9505250000000001,30.0073254,-
ECV Selection,0,28,0.5002737500000001,19.12065471,0.018020876324897406
ECV Selection,1,28,0.6851275,25.33272894,0.03625213044811643
ECV Selection,2,28,0.8079375000000001,30.6849076,0.21483623420882555
ECV Selection,3,28,0.8843249999999999,32.175744,0.20847025502081876
ECV Selection,4,28,0.9313499999999999,32.750054,-
ECV Selection,0,29,0.5008325,17.65017629,-0.00656728487312525
ECV Selection,1,29,0.6894224999999999,25.1672133,0.11232254313105826
ECV Selection,2,29,0.79045,32.2844277,0.17713259464431966
ECV Selection,3,29,0.8769,30.7032554,0.2047210794697176
ECV Selection,4,29,0.9439500000000001,33.5774414,-
ECV Selection,0,30,0.50096,17.42051894,-0.0013933510374463517
ECV Selection,1,30,0.683545,24.5236421,0.13687921773465997
ECV Selection,2,30,0.8006125000000001,28.5266363,0.2106448077541347
ECV Selection,3,30,0.886125,33.794187,0.20572456796105773
ECV Selection,4,30,0.940175,33.7444782,-
Phenotypic Selection,0,1,0.5001975,20.4959197,-0.02222556448589094
Phenotypic Selection,1,1,0.58685,24.07798842,0.22047205119578284
Phenotypic Selection,2,1,0.666775,28.8250537,0.28918479255238194
Phenotypic Selection,3,1,0.7253000000000001,31.2354678,0.4137893321832013
Phenotypic Selection,4,1,0.7623,32.2899304,-
Phenotypic Selection,0,2,0.50013625,19.8385472,0.01799905957466318
Phenotypic Selection,1,2,0.606705,24.2338157,0.06942295976369359
Phenotypic Selection,2,2,0.6653875,24.6179588,0.1636999180191189
Phenotypic Selection,3,2,0.67735,25.8636126,0.32078066201752026
Phenotypic Selection,4,2,0.7218,27.5533816,-
Phenotypic Selection,0,3,0.4998425,20.64303263,0.01167595757961312
Phenotypic Selection,1,3,0.5789375,23.16327246,0.020962042942610563
Phenotypic Selection,2,3,0.6336625,25.6312044,0.10413654642337733
Phenotypic Selection,3,3,0.66505,28.4070934,0.48394059376107484
Phenotypic Selection,4,3,0.7146250000000001,28.608032,-
Phenotypic Selection,0,4,0.5006225,19.43836596,0.005551421457029761
Phenotypic Selection,1,4,0.58641,23.0826883,0.018658612538946046
Phenotypic Selection,2,4,0.6376625,21.6886381,0.42869081863599023
Phenotypic Selection,3,4,0.706325,27.4171666,0.6009659733562159
Phenotypic Selection,4,4,0.7275750000000001,31.478072,-
Phenotypic Selection,0,5,0.49934,17.40715663,0.006234894892017613
Phenotypic Selection,1,5,0.600875,23.90608066,-0.03790249461347355
Phenotypic Selection,2,5,0.660825,25.2016784,0.33351363709358944
Phenotypic Selection,3,5,0.692875,26.1198672,0.39999469944978244
Phenotypic Selection,4,5,0.7375499999999999,30.0234274,-
Phenotypic Selection,0,6,0.49896375,21.89404802,-0.0025189427825547833
Phenotypic Selection,1,6,0.5828575,21.46174106,0.0006158307310223015
Phenotypic Selection,2,6,0.6129374999999999,25.2234126,0.3404349968573508
Phenotypic Selection,3,6,0.66515,29.414826,0.7099831751205697
Phenotypic Selection,4,6,0.71925,28.9823444,-
Phenotypic Selection,0,7,0.4997025,18.07332794,0.022764598029443684
Phenotypic Selection,1,7,0.5937725,26.12570232,0.10560544225052315
Phenotypic Selection,2,7,0.6625,26.2682399,0.2938701563023074
Phenotypic Selection,3,7,0.6893,29.4375128,0.6014346350056535
Phenotypic Selection,4,7,0.7150000000000001,29.2856144,-
Phenotypic Selection,0,8,0.49991,18.22965039,-0.008619304543847949
Phenotypic Selection,1,8,0.58441,20.82202476,0.03610837600899366
Phenotypic Selection,2,8,0.68275,25.7882201,0.17973343431749247
Phenotypic Selection,3,8,0.702725,29.8404708,0.466784167719641
Phenotypic Selection,4,8,0.7194,30.129262399999998,-
Phenotypic Selection,0,9,0.4998675,18.7915657,0.0034252370517758573
Phenotypic Selection,1,9,0.5971375,24.27153966,0.024139027903568044
Phenotypic Selection,2,9,0.63755,25.166193,0.3898598211245048
Phenotypic Selection,3,9,0.718775,27.3890254,0.713296088082233
Phenotypic Selection,4,9,0.7621749999999999,30.513939,-
Phenotypic Selection,0,10,0.49906375000000003,20.72965929,-0.017845474748084327
Phenotypic Selection,1,10,0.5908100000000001,26.08757692,0.003172678929186102
Phenotypic Selection,2,10,0.6447,23.548435,0.2733904125259247
Phenotypic Selection,3,10,0.683275,25.5671504,0.5915373379654771
Phenotypic Selection,4,10,0.697025,28.911376,-
Phenotypic Selection,0,11,0.50059375,19.04581631,-0.01734157085216952
Phenotypic Selection,1,11,0.59807,24.18721354,0.10846101548962384
Phenotypic Selection,2,11,0.6372875,24.8285314,0.07592746521211093
Phenotypic Selection,3,11,0.6649,26.710992,0.5150620586230943
Phenotypic Selection,4,11,0.701225,29.1715924,-
Phenotypic Selection,0,12,0.4992875,19.69105022,-0.017612123774732678
Phenotypic Selection,1,12,0.5868075,22.02771232,0.016300070151956846
Phenotypic Selection,2,12,0.6328125,24.8648804,0.25573589718587736
Phenotypic Selection,3,12,0.678825,27.8863838,0.4739939522129837
Phenotypic Selection,4,12,0.692275,26.6617314,-
Phenotypic Selection,0,13,0.49952375,19.21818025,-0.013705346723154507
Phenotypic Selection,1,13,0.5834699999999999,23.43722146,0.1324573046499879
Phenotypic Selection,2,13,0.6195875,24.6563615,0.329763506517342
Phenotypic Selection,3,13,0.6567999999999999,28.9353878,0.6480029566164947
Phenotypic Selection,4,13,0.6768500000000001,26.6859274,-
Phenotypic Selection,0,14,0.50112875,19.79915332,0.024963916147566934
Phenotypic Selection,1,14,0.6076675,23.17325656,0.0892698285385862
Phenotypic Selection,2,14,0.637225,26.615736,0.233863448333
Phenotypic Selection,3,14,0.670775,28.0644568,0.4925366378237826
Phenotypic Selection,4,14,0.687025,30.043104,-
Phenotypic Selection,0,15,0.49877125,19.95819558,-0.00567951185531572
Phenotypic Selection,1,15,0.60615,22.16011876,-0.05912056619858916
Phenotypic Selection,2,15,0.682025,25.8007257,0.1712033268724007
Phenotypic Selection,3,15,0.75795,29.3245464,0.4426945869846563
Phenotypic Selection,4,15,0.7691,28.0961754,-
Phenotypic Selection,0,16,0.50021,19.41257732,-0.01201331004874572
Phenotypic Selection,1,16,0.5930325,24.81338192,0.07110159770715768
Phenotypic Selection,2,16,0.6509125,26.4971319,0.19254394123357343
Phenotypic Selection,3,16,0.69975,29.485543,0.5130326723512979
Phenotypic Selection,4,16,0.746325,29.3189826,-
Phenotypic Selection,0,17,0.49960125,19.5523797,0.0022544694907200803
Phenotypic Selection,1,17,0.5909424999999999,21.72357276,0.08470615241950454
Phenotypic Selection,2,17,0.6785,27.1171789,0.2125079810399437
Phenotypic Selection,3,17,0.7342500000000001,31.3556562,0.4814420321236241
Phenotypic Selection,4,17,0.74175,29.8680592,-
Phenotypic Selection,0,18,0.5001475,22.87737161,-0.019147762032138905
Phenotypic Selection,1,18,0.5626025,20.71470684,0.059730481057353416
Phenotypic Selection,2,18,0.6471625000000001,26.0472753,0.3848284310792769
Phenotypic Selection,3,18,0.680225,26.6437878,0.5660504201258827
