Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
ECV Selection,2,21,0.40564999999999996,3.7886321,0.19126034912494558
ECV Selection,3,21,0.39940000000000003,4.2263486,0.21596313283626106
ECV Selection,4,21,0.4024,3.9922916,-
ECV Selection,0,22,0.500175,5.53693535,-0.02744607495501206
ECV Selection,1,22,0.5652999999999999,5.75861218,0.07058826238590535
ECV Selection,2,22,0.6204500000000001,6.3188605,0.1711394306345009
ECV Selection,3,22,0.5876,5.7446026,0.22502203048046246
ECV Selection,4,22,0.5815,5.5811286,-
ECV Selection,0,23,0.50141,4.41657058,-0.03553748965389813
ECV Selection,1,23,0.51832,4.45352394,0.1561588275527653
ECV Selection,2,23,0.5261,5.6632468,0.13446542273719356
ECV Selection,3,23,0.5005,4.6996278,0.22924734287107368
ECV Selection,4,23,0.4779,4.6508066,-
ECV Selection,0,24,0.49984,5.0840622,-0.00018687111345888155
ECV Selection,1,24,0.46826,4.40893306,0.13611301022758587
ECV Selection,2,24,0.40325,4.0497111,0.19686071836322713
ECV Selection,3,24,0.3879,3.5851478,0.1588759587264694
ECV Selection,4,24,0.3941,4.3754106,-
ECV Selection,0,25,0.49934500000000004,5.24395849,0.021910996975821013
ECV Selection,1,25,0.36879,3.16710028,0.14513442810134594
ECV Selection,2,25,0.40325,4.0656246,0.23554007550686348
ECV Selection,3,25,0.4056,3.660372,0.2301054775594012
ECV Selection,4,25,0.4225,4.2718656,-
ECV Selection,0,26,0.49989,4.93958336,-0.009316986563603243
ECV Selection,1,26,0.4548,4.1270391,0.14627936731791336
ECV Selection,2,26,0.4473,3.874863,0.1865748667872191
ECV Selection,3,26,0.3722,3.836964,0.21249410655541484
ECV Selection,4,26,0.3769,3.5776162,-
ECV Selection,0,27,0.49917,5.04058709,0.022031285754958073
ECV Selection,1,27,0.53345,5.0760766,0.03045672581453833
ECV Selection,2,27,0.5225,4.806568,0.11087308211061042
ECV Selection,3,27,0.5904,5.879693,0.19661629897776978
ECV Selection,4,27,0.6415,6.0032776,-
ECV Selection,0,28,0.49959,5.26496286,0.018020876324897406
ECV Selection,1,28,0.50412,5.29896454,0.03625213044811643
ECV Selection,2,28,0.5282,5.3069824,0.21483623420882555
ECV Selection,3,28,0.5385,4.7110866,0.20847025502081876
ECV Selection,4,28,0.5274,5.0117124,-
ECV Selection,0,29,0.49981,5.38626275,-0.00656728487312525
ECV Selection,1,29,0.41407,4.59592168,0.11232254313105826
ECV Selection,2,29,0.385,3.5453493,0.17713259464431966
ECV Selection,3,29,0.4378,4.1363264,0.2047210794697176
ECV Selection,4,29,0.3695,3.7524494,-
ECV Selection,0,30,0.498655,5.11163334,-0.0013933510374463517
ECV Selection,1,30,0.55633,5.3180484,0.13687921773465997
ECV Selection,2,30,0.55745,4.7717578,0.2106448077541347
ECV Selection,3,30,0.5594,5.0561836,0.20572456796105773
ECV Selection,4,30,0.5528,5.0449508,-
