Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
ECV Selection,0,1,0.49932,4.72875364,-0.027135788613071234
ECV Selection,1,1,0.50726,5.22102494,0.07228950638429923
ECV Selection,2,1,0.51605,4.9919751,0.12785482939852927
ECV Selection,3,1,0.5739,6.1781472,0.15532539999902356
ECV Selection,4,1,0.7142999999999999,7.8214486,-
ECV Selection,0,2,0.49871999999999994,4.81966785,-0.007689471523979711
ECV Selection,1,2,0.51154,4.89870548,0.07025331808683594
ECV Selection,2,2,0.49660000000000004,4.9123063,0.17018526005213988
ECV Selection,3,2,0.5508,5.6849114,0.15015433103132944
ECV Selection,4,2,0.7766,7.3773045999999995,-
ECV Selection,0,3,0.49877000000000005,5.06434046,-0.019298752466254662
ECV Selection,1,3,0.46518,4.98089534,0.0886342714260508
ECV Selection,2,3,0.42750000000000005,4.4784971,0.15262230133154492
ECV Selection,3,3,0.39540000000000003,4.408648,0.19104841168444262
ECV Selection,4,3,0.5768,5.7564784,-
ECV Selection,0,4,0.5002449999999999,5.13942612,0.0202486017919079
ECV Selection,1,4,0.50218,4.94171468,0.06939950678379722
ECV Selection,2,4,0.48034999999999994,4.9199713,0.1508736050765197
ECV Selection,3,4,0.5011,4.78259,0.16722932589490083
ECV Selection,4,4,0.6309,6.5173114,-
ECV Selection,0,5,0.500525,5.11215181,-0.012930524891564743
ECV Selection,1,5,0.52857,5.30994192,0.04027719847059138
ECV Selection,2,5,0.5691499999999999,5.466138,0.1675586159206257
ECV Selection,3,5,0.5579,5.2396026,0.17071929470606126
ECV Selection,4,5,0.7376,7.6536684,-
ECV Selection,0,6,0.49898499999999996,4.89664403,-0.016534495936958802
ECV Selection,1,6,0.5404,5.24436912,0.12916867475938115
ECV Selection,2,6,0.563,5.8165165,0.19676527340576597
ECV Selection,3,6,0.6275999999999999,6.8574278,0.19120465562014602
ECV Selection,4,6,0.7506,7.6136338,-
ECV Selection,0,7,0.50047,4.60889924,-0.009162899044735823
ECV Selection,1,7,0.53945,5.52329776,0.05037252597131077
ECV Selection,2,7,0.5107,4.7652498,0.1034686445318651
ECV Selection,3,7,0.6537,6.5852386,0.20665672517427358
ECV Selection,4,7,0.7922,8.2697688,-
ECV Selection,0,8,0.49922000000000005,5.57284099,-0.01626473166207423
ECV Selection,1,8,0.51307,5.36881862,0.0347284871835838
ECV Selection,2,8,0.49355000000000004,5.2077686,0.044673223609700656
ECV Selection,3,8,0.40549999999999997,4.104101,0.03542188451453372
ECV Selection,4,8,0.5259,4.625727,-
ECV Selection,0,9,0.50093,5.35739213,-0.008903110847009498
ECV Selection,1,9,0.49851999999999996,4.75807602,-0.002023409180037623
ECV Selection,2,9,0.5548,5.3451496,0.16322213700930646
ECV Selection,3,9,0.5660999999999999,6.1641262,0.19916508217351445
ECV Selection,4,9,0.6502,6.2365364,-
ECV Selection,0,10,0.500725,5.26044103,0.008163611239961448
ECV Selection,1,10,0.50334,4.97727186,0.1392628108654979
ECV Selection,2,10,0.46340000000000003,4.7486961,0.1790004109464073
ECV Selection,3,10,0.5048,4.616464,0.16780920761844811
ECV Selection,4,10,0.5852999999999999,5.8449342,-
ECV Selection,0,11,0.50222,5.27919798,0.004747239263082548
ECV Selection,1,11,0.55669,5.38232026,0.054306288568057755
ECV Selection,2,11,0.61125,5.6146732,0.0835028420436661
ECV Selection,3,11,0.6075999999999999,5.8348744,0.07375448227048631
ECV Selection,4,11,0.7073,7.0792172,-
ECV Selection,0,12,0.50048,4.77769184,0.0006124340431583321
ECV Selection,1,12,0.49551,5.28537526,-0.029723607778888002
ECV Selection,2,12,0.3835,4.0417667,0.11093065095884351
ECV Selection,3,12,0.4418,4.4295786,0.2117479144989592
ECV Selection,4,12,0.5654,5.548723,-
ECV Selection,0,13,0.49907,4.64163328,-0.021331580085033934
ECV Selection,1,13,0.51383,4.95564408,0.025629151747438378
ECV Selection,2,13,0.5139,5.3415932,0.018705065139839622
ECV Selection,3,13,0.5703,5.8766566,0.13757912192680294
ECV Selection,4,13,0.7203,7.0849754,-
ECV Selection,0,14,0.50302,5.11300686,0.009198457795973192
ECV Selection,1,14,0.53547,5.14041084,0.09375721434962368
ECV Selection,2,14,0.58465,5.9049799,0.2029617111349738
ECV Selection,3,14,0.5743,5.9765464,0.21661072743705662
ECV Selection,4,14,0.6908000000000001,7.247964,-
ECV Selection,0,15,0.500095,5.45158213,0.005376320625652838
ECV Selection,1,15,0.51207,5.43975372,0.09607347385549576
ECV Selection,2,15,0.49749999999999994,4.2542633,0.18460446103450998
ECV Selection,3,15,0.5125,5.099193,0.2032062444803182
ECV Selection,4,15,0.6394,6.6580816,-
ECV Selection,0,16,0.502145,4.5094455,0.03408550899589396
ECV Selection,1,16,0.53802,5.65381082,0.06442740066220225
ECV Selection,2,16,0.48929999999999996,5.2552172,0.11506624023670922
ECV Selection,3,16,0.4862,4.8544066,0.14870525948855823
ECV Selection,4,16,0.6083999999999999,6.0417888,-
ECV Selection,0,17,0.499875,4.97243613,0.011433405146888658
ECV Selection,1,17,0.47949,4.8106343,0.03831096125738369
ECV Selection,2,17,0.5387,5.344185,0.15335891877398578
ECV Selection,3,17,0.4849,4.8876782,0.17431360982126812
ECV Selection,4,17,0.5795,6.1529916,-
ECV Selection,0,18,0.499915,5.17081674,0.001445978068705873
ECV Selection,1,18,0.55851,5.62332524,0.19330758765141734
ECV Selection,2,18,0.5803499999999999,5.3721064,0.21644429428580605
ECV Selection,3,18,0.5948,5.608811,0.2353788167268472
ECV Selection,4,18,0.7509,7.1235866,-
ECV Selection,0,19,0.502985,4.71266589,-0.016047850776934255
ECV Selection,1,19,0.5455599999999999,5.39801616,0.12202773319570843
ECV Selection,2,19,0.6043999999999999,5.0846372,0.19945992945607002
ECV Selection,3,19,0.5894999999999999,5.973525,0.23755246413443531
ECV Selection,4,19,0.708,6.823579,-
ECV Selection,0,20,0.500475,5.04248694,-0.010885684813586403
ECV Selection,1,20,0.5361,5.55064666,0.16305772290144335
