Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
ECV Selection,0,1,0.5001975,20.4959197,-0.027135788613071234
ECV Selection,1,1,0.6370075,24.64551054,0.07228950638429923
ECV Selection,2,1,0.6641625,25.9709085,0.12785482939852927
ECV Selection,3,1,0.701225,26.9485446,0.15532539999902356
ECV Selection,4,1,0.7026749999999999,26.1510658,-
ECV Selection,0,2,0.50013625,19.8385472,-0.007689471523979711
ECV Selection,1,2,0.64272,24.21883942,0.07025331808683594
ECV Selection,2,2,0.6568875000000001,22.3684818,0.17018526005213988
ECV Selection,3,2,0.670875,23.080055,0.15015433103132944
ECV Selection,4,2,0.698625,24.1391262,-
ECV Selection,0,3,0.4998425,20.64303263,-0.019298752466254662
ECV Selection,1,3,0.6284225,23.63091974,0.0886342714260508
ECV Selection,2,3,0.6704,24.4864943,0.15262230133154492
ECV Selection,3,3,0.72025,27.5214394,0.19104841168444262
ECV Selection,4,3,0.729025,24.6735444,-
ECV Selection,0,4,0.5006225,19.43836596,0.0202486017919079
ECV Selection,1,4,0.634935,23.16250564,0.06939950678379722
ECV Selection,2,4,0.6829500000000001,21.9936573,0.1508736050765197
ECV Selection,3,4,0.720075,26.3751464,0.16722932589490083
ECV Selection,4,4,0.73515,29.218459,-
ECV Selection,0,5,0.49934,17.40715663,-0.012930524891564743
ECV Selection,1,5,0.6201075,23.42957232,0.04027719847059138
ECV Selection,2,5,0.6612375,22.8851331,0.1675586159206257
ECV Selection,3,5,0.68535,20.5678294,0.17071929470606126
ECV Selection,4,5,0.6804,22.5759446,-
ECV Selection,0,6,0.49896375,21.89404802,-0.016534495936958802
ECV Selection,1,6,0.615425,20.93301014,0.12916867475938115
ECV Selection,2,6,0.6626875,24.3688569,0.19676527340576597
ECV Selection,3,6,0.70455,28.464789,0.19120465562014602
ECV Selection,4,6,0.723525,25.6262898,-
ECV Selection,0,7,0.4997025,18.07332794,-0.009162899044735823
ECV Selection,1,7,0.63789,25.55359926,0.05037252597131077
ECV Selection,2,7,0.6765875,22.9837552,0.1034686445318651
ECV Selection,3,7,0.7213,25.293015,0.20665672517427358
ECV Selection,4,7,0.729575,21.4844614,-
ECV Selection,0,8,0.49991,18.22965039,-0.01626473166207423
ECV Selection,1,8,0.6283125,20.67434934,0.0347284871835838
ECV Selection,2,8,0.662425,23.2918439,0.044673223609700656
ECV Selection,3,8,0.663925,25.0115406,0.03542188451453372
ECV Selection,4,8,0.667925,24.6054382,-
ECV Selection,0,9,0.4998675,18.7915657,-0.008903110847009498
ECV Selection,1,9,0.6345675,23.47800412,-0.002023409180037623
ECV Selection,2,9,0.6363125000000001,22.0450258,0.16322213700930646
ECV Selection,3,9,0.6509,22.6159516,0.19916508217351445
ECV Selection,4,9,0.6403,23.2051058,-
ECV Selection,0,10,0.49906375000000003,20.72965929,0.008163611239961448
ECV Selection,1,10,0.629455,26.57231672,0.1392628108654979
ECV Selection,2,10,0.676275,23.6354213,0.1790004109464073
ECV Selection,3,10,0.693,24.210329,0.16780920761844811
ECV Selection,4,10,0.6813,25.75537,-
ECV Selection,0,11,0.50059375,19.04581631,0.004747239263082548
ECV Selection,1,11,0.63435,23.97556856,0.054306288568057755
ECV Selection,2,11,0.6657375,23.4594726,0.0835028420436661
ECV Selection,3,11,0.680075,24.3090734,0.07375448227048631
ECV Selection,4,11,0.684625,24.8527532,-
ECV Selection,0,12,0.4992875,19.69105022,0.0006124340431583321
ECV Selection,1,12,0.6305799999999999,22.55924296,-0.029723607778888002
ECV Selection,2,12,0.6678875,23.0422434,0.11093065095884351
